Date,Open,High,Low,Close,Adj Close,Volume
2019-07-15,11614.750000,11618.400391,11532.299805,11588.349609,11588.349609,368800
2019-07-16,11596.650391,11670.049805,11573.950195,11662.599609,11662.599609,480200
2019-07-17,11670.750000,11706.650391,11651.150391,11687.500000,11687.500000,464800
2019-07-18,11675.599609,11677.150391,11582.400391,11596.900391,11596.900391,498300
2019-07-19,11627.950195,11640.349609,11399.299805,11419.250000,11419.250000,446000
2019-07-22,11392.849609,11398.150391,11301.250000,11346.200195,11346.200195,516000
2019-07-23,11372.250000,11398.150391,11302.799805,11331.049805,11331.049805,458900
2019-07-24,11322.450195,11359.750000,11229.799805,11271.299805,11271.299805,413200
2019-07-25,11290.400391,11361.400391,11239.349609,11252.150391,11252.150391,553700
2019-07-26,11247.450195,11307.599609,11210.049805,11284.299805,11284.299805,522700
2019-07-29,11307.500000,11310.950195,11152.400391,11189.200195,11189.200195,482900
2019-07-30,11213.700195,11267.450195,11072.650391,11085.400391,11085.400391,479100
2019-07-31,11034.049805,11145.299805,10999.400391,11118.000000,11118.000000,536700
2019-08-01,11060.200195,11076.750000,10881.000000,10980.000000,10980.000000,499900
2019-08-02,10930.299805,11080.150391,10848.950195,10997.349609,10997.349609,547400
2019-08-05,10895.799805,10895.799805,10782.599609,10862.599609,10862.599609,506600
2019-08-06,10815.400391,11018.549805,10813.799805,10948.250000,10948.250000,517900
2019-08-07,10958.099609,10975.650391,10835.900391,10855.500000,10855.500000,548500
2019-08-08,10899.200195,11058.049805,10842.950195,11032.450195,11032.450195,482500
2019-08-09,11087.900391,11181.450195,11062.799805,11109.650391,11109.650391,538100
2019-08-13,11139.400391,11145.900391,10901.599609,10925.849609,10925.849609,624600
2019-08-14,11003.250000,11078.150391,10935.599609,11029.400391,11029.400391,511500
2019-08-16,11043.650391,11068.650391,10924.299805,11047.799805,11047.799805,470900
2019-08-19,11094.799805,11146.900391,11037.849609,11053.900391,11053.900391,369500
2019-08-20,11063.900391,11076.299805,10985.299805,11017.000000,11017.000000,444700
2019-08-21,11018.150391,11034.200195,10906.650391,10918.700195,10918.700195,557900
2019-08-22,10905.299805,10908.250000,10718.299805,10741.349609,10741.349609,668200
2019-08-23,10699.599609,10862.549805,10637.150391,10829.349609,10829.349609,667100
2019-08-26,11000.299805,11070.299805,10756.549805,11057.849609,11057.849609,684100
2019-08-27,11106.549805,11141.750000,11049.500000,11105.349609,11105.349609,685600
2019-08-28,11101.299805,11129.650391,10987.650391,11046.099609,11046.099609,550000
2019-08-29,10996.049805,11021.099609,10922.400391,10948.299805,10948.299805,649900
2019-08-30,10987.799805,11042.599609,10874.799805,11023.250000,11023.250000,628200
2019-09-03,10960.950195,10967.500000,10772.700195,10797.900391,10797.900391,483000
2019-09-04,10790.400391,10858.750000,10746.349609,10844.650391,10844.650391,508800
2019-09-05,10860.950195,10920.099609,10816.000000,10847.900391,10847.900391,595700
2019-09-06,10883.799805,10957.049805,10867.450195,10946.200195,10946.200195,497200
2019-09-09,10936.700195,11028.849609,10889.799805,11003.049805,11003.049805,412500
2019-09-11,11028.500000,11054.799805,11011.650391,11035.700195,11035.700195,687100
2019-09-12,11058.299805,11081.750000,10964.950195,10982.799805,10982.799805,551400
2019-09-13,10986.799805,11084.450195,10945.750000,11075.900391,11075.900391,624300
2019-09-16,10994.849609,11052.700195,10968.200195,11003.500000,11003.500000,434500
2019-09-17,11000.099609,11000.099609,10796.500000,10817.599609,10817.599609,482000
2019-09-18,10872.799805,10885.150391,10804.849609,10840.650391,10840.650391,519200
2019-09-19,10845.200195,10845.200195,10670.250000,10704.799805,10704.799805,642600
2019-09-20,10746.799805,11381.900391,10691.000000,11274.200195,11274.200195,1356800
2019-09-23,11542.700195,11694.849609,11471.349609,11600.200195,11600.200195,882800
2019-09-24,11590.700195,11655.049805,11539.200195,11588.200195,11588.200195,651700
2019-09-25,11564.849609,11564.950195,11416.099609,11440.200195,11440.200195,629100
2019-09-26,11469.849609,11610.849609,11466.349609,11571.200195,11571.200195,844500
2019-09-27,11556.349609,11593.599609,11499.750000,11512.400391,11512.400391,650000
2019-09-30,11491.150391,11508.250000,11390.799805,11474.450195,11474.450195,756800
2019-10-01,11515.400391,11554.200195,11247.900391,11359.900391,11359.900391,1305400
2019-10-03,11322.250000,11370.400391,11257.349609,11314.000000,11314.000000,1017500
2019-10-04,11388.450195,11400.299805,11158.349609,11174.750000,11174.750000,928500
2019-10-07,11196.200195,11233.849609,11112.650391,11126.400391,11126.400391,733200
2019-10-09,11152.950195,11321.599609,11090.150391,11313.299805,11313.299805,741100
2019-10-10,11280.500000,11293.349609,11208.549805,11234.549805,11234.549805,562000
2019-10-11,11257.700195,11362.900391,11189.400391,11305.049805,11305.049805,737800
2019-10-14,11335.900391,11420.450195,11290.049805,11341.150391,11341.150391,587600
2019-10-15,11360.849609,11462.349609,11342.099609,11428.299805,11428.299805,527400
2019-10-16,11464.950195,11481.049805,11411.099609,11464.000000,11464.000000,533500
2019-10-17,11466.299805,11599.099609,11439.650391,11586.349609,11586.349609,797600
2019-10-18,11580.299805,11684.700195,11553.150391,11661.849609,11661.849609,853400
2019-10-22,11657.150391,11714.349609,11573.650391,11588.349609,11588.349609,867600
2019-10-23,11596.200195,11651.599609,11554.400391,11604.099609,11604.099609,664200
2019-10-24,11661.650391,11679.599609,11534.650391,11582.599609,11582.599609,700500
2019-10-25,11646.150391,11646.900391,11490.750000,11583.900391,11583.900391,812000
2019-10-27,null,null,null,null,null,null
2019-10-29,11643.950195,11809.400391,11627.349609,11786.849609,11786.849609,951700
2019-10-30,11883.900391,11883.950195,11784.450195,11844.099609,11844.099609,725200
2019-10-31,11890.450195,11945.000000,11855.099609,11877.450195,11877.450195,1414800
2019-11-01,11886.599609,11918.299805,11843.349609,11890.599609,11890.599609,855300
2019-11-04,11928.900391,11989.150391,11905.349609,11941.299805,11941.299805,823100
2019-11-05,11974.599609,11978.950195,11861.900391,11917.200195,11917.200195,632000
2019-11-06,11911.500000,12002.900391,11850.250000,11966.049805,11966.049805,603400
2019-11-07,12021.099609,12021.400391,11946.849609,12012.049805,12012.049805,563000
2019-11-08,11987.150391,12034.150391,11888.750000,11908.150391,11908.150391,789300
2019-11-11,11879.200195,11932.650391,11853.950195,11913.450195,11913.450195,549000
2019-11-13,11908.299805,11946.799805,11823.200195,11840.450195,11840.450195,659000
2019-11-14,11858.750000,11895.650391,11802.650391,11872.099609,11872.099609,559500
2019-11-15,11904.200195,11973.650391,11879.250000,11895.450195,11895.450195,580200
2019-11-18,11915.150391,11946.200195,11867.599609,11884.500000,11884.500000,514400
2019-11-19,11919.450195,11958.849609,11881.750000,11940.099609,11940.099609,613900
2019-11-20,12004.750000,12038.599609,11966.049805,11999.099609,11999.099609,646700
2019-11-21,12025.650391,12028.200195,11956.900391,11968.400391,11968.400391,557700
2019-11-22,11967.299805,11968.099609,11883.500000,11914.400391,11914.400391,486800
2019-11-25,11922.450195,12084.500000,11919.750000,12073.750000,12073.750000,534300
2019-11-26,12110.200195,12132.450195,12006.349609,12037.700195,12037.700195,1201300
2019-11-27,12068.500000,12114.900391,12055.150391,12100.700195,12100.700195,584200
2019-11-28,12132.099609,12158.799805,12099.950195,12151.150391,12151.150391,620500
2019-11-29,12146.200195,12147.400391,12017.400391,12056.049805,12056.049805,804400
2019-12-02,12137.049805,12137.150391,12023.700195,12048.200195,12048.200195,720900
2019-12-03,12067.650391,12068.599609,11956.400391,11994.200195,11994.200195,605800
2019-12-04,11969.950195,12054.700195,11935.299805,12043.200195,12043.200195,747200
2019-12-05,12071.250000,12081.200195,11998.750000,12018.400391,12018.400391,562200
2019-12-06,12047.349609,12057.049805,11888.849609,11921.500000,11921.500000,609200
2019-12-09,11939.099609,11981.950195,11888.049805,11937.500000,11937.500000,599100
2019-12-10,11950.500000,11953.200195,11844.700195,11856.799805,11856.799805,650200
2019-12-11,11867.349609,11923.200195,11832.299805,11910.150391,11910.150391,997700
2019-12-12,11944.299805,12005.500000,11934.000000,11971.799805,11971.799805,752600
2019-12-13,12026.400391,12098.849609,12023.599609,12086.700195,12086.700195,597700
2019-12-16,12131.349609,12134.650391,12046.299805,12053.950195,12053.950195,437700
2019-12-17,12082.450195,12182.750000,12070.349609,12165.000000,12165.000000,499600
2019-12-18,12197.000000,12237.700195,12163.450195,12221.650391,12221.650391,518900
2019-12-19,12223.400391,12268.349609,12191.150391,12259.700195,12259.700195,623100
2019-12-20,12266.450195,12293.900391,12252.750000,12271.799805,12271.799805,810700
2019-12-23,12235.450195,12287.150391,12213.250000,12262.750000,12262.750000,604800
2019-12-24,12269.250000,12283.700195,12202.099609,12214.549805,12214.549805,470300
2019-12-26,12211.849609,12221.549805,12118.849609,12126.549805,12126.549805,520300
2019-12-27,12172.900391,12258.450195,12157.900391,12245.799805,12245.799805,383800
2019-12-30,12274.900391,12286.450195,12213.799805,12255.849609,12255.849609,411100
2019-12-31,12247.099609,12247.099609,12151.799805,12168.450195,12168.450195,426900
2020-01-01,12202.150391,12222.200195,12165.299805,12182.500000,12182.500000,304100
2020-01-02,12198.549805,12289.900391,12195.250000,12282.200195,12282.200195,407700
2020-01-03,12261.099609,12265.599609,12191.349609,12226.650391,12226.650391,428800
2020-01-06,12170.599609,12179.099609,11974.200195,11993.049805,11993.049805,396500
2020-01-07,12079.099609,12152.150391,12005.349609,12052.950195,12052.950195,447800
2020-01-08,11939.099609,12044.950195,11929.599609,12025.349609,12025.349609,446000
2020-01-09,12153.150391,12224.049805,12132.549805,12215.900391,12215.900391,477500
2020-01-10,12271.000000,12311.200195,12213.200195,12256.799805,12256.799805,660600
2020-01-13,12296.700195,12337.750000,12285.799805,12329.549805,12329.549805,501000
2020-01-14,12333.099609,12374.250000,12308.700195,12362.299805,12362.299805,616300
2020-01-15,12349.400391,12355.150391,12278.750000,12343.299805,12343.299805,684400
2020-01-16,12347.099609,12389.049805,12315.799805,12355.500000,12355.500000,395700
2020-01-17,12328.400391,12385.450195,12321.400391,12352.349609,12352.349609,502100
2020-01-20,12430.500000,12430.500000,12216.900391,12224.549805,12224.549805,491600
2020-01-21,12195.299805,12230.049805,12162.299805,12169.849609,12169.849609,444000
2020-01-22,12218.349609,12225.049805,12087.900391,12106.900391,12106.900391,500
2020-01-23,12123.750000,12189.000000,12094.099609,12180.349609,12180.349609,867700
2020-01-24,12174.549805,12272.150391,12149.650391,12248.250000,12248.250000,593200
2020-01-27,12197.099609,12216.599609,12107.000000,12119.000000,12119.000000,441200
2020-01-28,12148.099609,12163.549805,12024.500000,12055.799805,12055.799805,478500
2020-01-29,12114.900391,12169.599609,12103.799805,12129.500000,12129.500000,514400
2020-01-30,12147.750000,12150.299805,12010.599609,12035.799805,12035.799805,538100
2020-01-31,12100.400391,12103.549805,11945.849609,11962.099609,11962.099609,771300
2020-02-03,11627.450195,11749.849609,11614.500000,11707.900391,11707.900391,669800
2020-02-04,11786.250000,11986.150391,11783.400391,11979.650391,11979.650391,560400
2020-02-05,12005.849609,12098.150391,11953.349609,12089.150391,12089.150391,758000
2020-02-06,12120.000000,12160.599609,12084.650391,12137.950195,12137.950195,565100
2020-02-07,12151.150391,12154.700195,12073.950195,12098.349609,12098.349609,473500
2020-02-10,12102.349609,12103.549805,11990.750000,12031.500000,12031.500000,524700
2020-02-11,12108.400391,12172.299805,12099.000000,12107.900391,12107.900391,480000
2020-02-12,12151.000000,12231.750000,12144.299805,12201.200195,12201.200195,411700
2020-02-13,12219.549805,12225.650391,12139.799805,12174.650391,12174.650391,501200
2020-02-14,12190.150391,12246.700195,12091.200195,12113.450195,12113.450195,622800
